Rank,Total_Points_Current_Year,STA,DYN,DYNB,DNF,Last_Year,Peak_Total_Points,Years_Competing,Performance_Growth_Prev_Year,Ranking_Variability_Prev_Year,Years_Since_Last_Best,Years_Until_Peak,CWT_Moderate,CWT_High,CWT_Elite,CWTB_Moderate,CWTB_High,CWTB_Elite,CNF_Moderate,CNF_High,CNF_Elite,FIM_Moderate,FIM_High,FIM_Elite
4.0,289.9,73.4,61,0,42.5,2004,289.9,0,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,False,False
6.0,368.5,82,101.5,0,0,2008,368.5,0,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,True,False
7.0,587.4,84.4,92,86.5,65.5,2024,587.4,0,0.0,0.0,0,0,True,False,False,False,True,False,True,False,False,False,True,False
8.0,443.1,72.6,93,0,60.5,2014,443.1,0,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
8.0,316.5,0,110,116,90.5,2025,316.5,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
3.0,225.4,73.4,0,0,0,2006,356.3,0,0.0,0.0,-3,3,False,True,False,False,False,False,False,False,False,False,True,False
2.0,356.3,84.8,66.5,0,0,2006,356.3,3,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,False,True
9.0,353.8,61.8,78,0,0,2006,356.3,5,130.9,0.5,2,-2,False,False,True,False,False,False,False,False,False,False,False,True
5.0,420.3,110.8,136.5,0,93,2016,420.3,0,-2.5,3.5,0,0,False,True,False,False,False,False,False,False,False,False,False,False
7.0,444.0,73,106,0,0,2018,444.0,0,0.0,0.0,0,0,False,False,True,False,False,False,True,False,False,False,False,True
9.0,409.4,74.4,49,0,56,2022,837.8,0,0.0,0.0,-13,13,False,True,False,False,False,False,False,True,False,False,True,False
3.0,461.3,85.8,102,0,73.5,2022,837.8,1,0.0,0.0,-12,12,False,False,True,False,False,False,False,False,False,False,False,True
4.0,465.6,87.6,112.5,0,82.5,2022,837.8,2,51.900000000000034,3.0,-11,11,False,False,False,False,False,False,False,True,False,False,False,True
2.0,529.3,84.8,124.5,0,90,2022,837.8,3,4.300000000000011,0.5,-10,10,False,True,False,False,False,False,True,False,False,False,True,False
6.0,472.6,88.6,125,0,103,2022,837.8,4,63.69999999999993,1.0,-9,9,False,True,False,False,False,False,False,False,False,False,True,False
4.0,507.5,96,125.5,0,107,2022,837.8,6,-56.69999999999993,2.0,-7,7,False,False,False,False,False,False,False,True,False,False,False,True
1.0,753.0,115,130.5,125,112.5,2022,837.8,10,34.89999999999998,1.0,-3,3,False,False,True,False,False,False,False,True,False,False,True,False
1.0,837.8,97.8,130,145,125,2022,837.8,13,245.5,1.5,0,0,False,False,True,False,False,False,False,True,False,False,False,True
9.0,412.4,72.4,90.5,0,64.5,2012,443.1,0,84.79999999999995,0.0,-1,1,False,True,False,False,False,False,True,False,False,False,True,False
5.0,443.1,68.6,92.5,0,62,2012,443.1,1,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
8.0,142.0,54,56,0,0,2008,348.6,0,30.700000000000045,2.0,-8,8,True,False,False,False,False,False,False,False,False,False,False,False
10.0,348.6,57.6,79.5,0,57.5,2008,348.6,8,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,True,False,False
4.0,486.5,83,96,0,53.5,2017,508.2,0,206.60000000000002,1.0,-3,3,False,False,True,False,False,False,True,False,False,False,False,True
1.0,508.2,69.2,103,0,65,2017,508.2,3,0.0,0.0,0,0,False,False,True,False,False,False,False,True,False,False,False,True
2.0,72.0,0,0,0,0,1996,72.0,0,21.69999999999999,1.5,0,0,False,True,False,False,False,False,False,False,False,False,False,False
4.0,644.4,69.4,89.5,84,53.5,2022,644.4,0,0.0,0.0,0,0,False,False,True,False,False,True,False,True,False,False,False,True
8.0,417.8,82.8,102,0,77,2011,417.8,0,0.0,0.0,0,0,False,True,False,False,False,False,False,True,False,False,False,False
5.0,429.7,57.2,57.5,51,43,2020,429.7,0,0.0,0.0,0,0,True,False,False,True,False,False,True,False,False,False,True,False
2.0,604.9,84.4,133,126.5,77,2020,604.9,0,0.0,0.0,0,0,False,True,False,False,True,False,False,False,False,False,True,False
4.0,449.8,65.8,75,86.5,62.5,2020,449.8,0,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,False,True,False
6.0,414.8,86.8,113,0,75,2010,414.8,0,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,True,False,False
6.0,428.5,96,130,120,82.5,2021,493.0,0,0.0,0.0,-1,1,False,False,False,False,False,False,False,False,False,False,False,False
9.0,493.0,105,148,138,102,2021,493.0,1,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1.0,729.9,102.4,100.5,100.5,75.5,2024,729.9,0,64.5,1.5,0,0,False,True,False,False,False,True,False,True,False,False,False,True
10.0,408.3,73.8,102,0,79.5,2009,408.3,0,0.0,0.0,0,0,False,True,False,False,False,False,False,True,False,False,False,False
9.0,405.7,71.2,89,0,54.5,2010,405.7,0,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
8.0,253.5,68,77.5,0,0,2013,572.4,0,0.0,0.0,-9,9,False,False,False,False,False,False,True,False,False,False,True,False
1.0,460.7,87.2,89,0,65.5,2013,572.4,1,0.0,0.0,-8,8,False,True,False,False,False,False,True,False,False,False,True,False
2.0,408.0,90,100,0,57,2013,572.4,2,207.2,3.5,-7,7,False,True,False,False,False,False,False,False,False,False,True,False
1.0,506.6,84.6,107,0,75,2013,572.4,4,-52.69999999999999,0.5,-5,5,False,False,True,False,False,False,True,False,False,False,True,False
1.0,540.1,100.6,106.5,0,80,2013,572.4,5,98.60000000000002,0.5,-4,4,False,False,True,False,False,False,False,True,False,False,True,False
3.0,572.4,108.4,117,0,91,2013,572.4,9,33.5,0.0,0,0,False,False,True,False,False,False,False,True,False,False,False,True
6.0,418.1,66.6,65.5,0,47,2016,418.1,0,32.299999999999955,1.0,0,0,False,False,True,False,False,False,False,True,False,False,True,False
1.0,75.0,0,75,0,0,1998,75.0,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
7.0,250.5,72,74.5,0,47,2002,250.5,0,0.0,0.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
7.0,463.8,68.8,93.5,0,55.5,2013,463.8,0,0.0,0.0,0,0,False,False,True,False,False,False,False,True,False,False,True,False
1.0,77.5,0,77.5,0,0,1995,77.5,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
4.0,262.7,80.2,56.5,0,0,2003,262.7,0,0.0,0.0,0,0,True,False,False,False,False,False,True,False,False,True,False,False
7.0,361.3,90.8,86.5,0,57,2008,361.3,0,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,True,False,False
6.0,572.4,77.4,90.5,83,67.5,2019,572.4,0,0.0,0.0,0,0,False,True,False,True,False,False,True,False,False,False,True,False
4.0,490.0,49,129.5,0,92.5,2019,543.1,0,0.0,0.0,-6,6,False,False,True,False,False,False,True,False,False,False,True,False
3.0,515.3,96.8,130,0,102.5,2019,543.1,2,0.0,0.0,-4,4,False,False,True,False,False,False,False,False,False,False,False,True
9.0,411.5,102,144.5,0,100,2019,543.1,3,25.299999999999955,0.5,-3,3,False,False,False,False,False,False,False,True,False,False,False,False
7.0,543.1,96.6,2.5,100,80,2019,543.1,6,-103.79999999999995,3.0,0,0,False,False,True,False,False,False,False,True,False,False,False,True
9.0,379.2,74.2,80,81,0,2021,588.2,0,131.60000000000002,1.0,-1,1,False,True,False,False,False,False,False,False,False,False,True,False
5.0,588.2,72.2,93,88,53,2021,588.2,1,0.0,0.0,0,0,False,True,False,False,True,False,True,False,False,False,True,False
7.0,407.0,69,81.5,73.5,0,2020,407.0,0,209.00000000000006,2.0,0,0,False,True,False,False,True,False,False,False,False,True,False,False
6.0,259.8,72.8,72,0,53,2005,289.7,0,0.0,0.0,-1,1,False,True,False,False,False,False,False,False,False,False,False,False
6.0,289.7,78.2,82.5,0,63,2005,289.7,1,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
9.0,579.3,77.8,83,101,76.5,2024,579.3,0,29.899999999999977,0.0,0,0,True,False,False,False,True,False,True,False,False,False,True,False
8.0,359.3,81.8,86.5,0,30,2006,359.3,0,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,False,True,False
4.0,602.2,70.2,120,116.5,99.5,2023,730.7,0,0.0,0.0,-2,2,False,True,False,False,False,False,False,True,False,True,False,False
3.0,596.8,97.8,115.5,119.5,109,2023,730.7,1,0.0,0.0,-1,1,False,False,False,False,False,False,True,False,False,False,False,True
2.0,730.7,87.2,100,106,103.5,2023,730.7,2,-5.400000000000091,0.5,0,0,True,False,False,False,True,False,False,False,True,False,False,True
10.0,581.5,0,0,125,92.5,2023,730.7,4,133.9000000000001,0.5,2,-2,True,False,False,False,False,True,False,False,True,False,False,True
9.0,242.6,69.6,82.5,0,52.5,2005,315.2,0,-149.20000000000005,4.0,-3,3,True,False,False,False,False,False,False,False,False,False,False,False
6.0,255.3,72.8,100,0,59.5,2005,315.2,1,0.0,0.0,-2,2,False,False,False,False,False,False,False,False,False,False,False,False
4.0,315.2,76.2,98.5,0,55.5,2005,315.2,3,12.700000000000017,1.5,0,0,False,True,False,False,False,False,False,False,False,False,False,False
8.0,579.6,49.6,93,109.5,52.5,2024,579.6,0,59.89999999999998,1.0,0,0,False,True,False,False,True,False,True,False,False,False,True,False
5.0,257.2,53.2,54.5,0,40.5,2002,257.2,0,0.0,0.0,0,0,True,False,False,False,False,False,False,False,False,True,False,False
8.0,421.0,76,43.5,0,57.5,2017,421.0,0,0.0,0.0,0,0,False,True,False,False,False,False,False,True,False,False,True,False
3.0,72.0,0,0,0,0,2001,292.4,0,0.0,0.0,-2,2,False,False,False,False,False,False,False,False,False,False,True,False
1.0,260.9,68.4,54.5,0,0,2001,292.4,1,0.0,0.0,-1,1,False,True,False,False,False,False,False,False,False,False,True,False
2.0,292.4,71.4,66,0,0,2001,292.4,2,188.89999999999998,1.0,0,0,False,True,False,False,False,False,False,False,False,False,True,False
5.0,422.9,104.4,100,0,81.5,2010,422.9,0,31.5,0.5,0,0,True,False,False,False,False,False,True,False,False,True,False,False
5.0,592.7,62.2,87.5,75,72,2024,651.0,0,0.0,0.0,-5,5,False,True,False,False,True,False,False,True,False,False,True,False
9.0,582.3,69.8,77.5,62.5,62.5,2024,651.0,4,0.0,0.0,-1,1,False,False,True,False,True,False,True,False,False,False,True,False
3.0,651.0,50,80,68.5,62.5,2024,651.0,5,-10.400000000000091,2.0,0,0,False,False,True,False,False,True,False,True,False,False,False,True
3.0,62.5,0,62.5,0,0,1996,62.5,0,68.70000000000005,3.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
7.0,411.6,88.6,114.5,0,68.5,2012,548.0,0,0.0,0.0,-1,1,False,True,False,False,False,False,False,False,False,False,True,False
2.0,548.0,95,118,0,100,2012,548.0,1,0.0,0.0,0,0,False,True,False,False,False,False,False,True,False,False,True,False
3.0,488.5,72,105,0,89.5,2012,548.0,2,136.39999999999998,2.5,1,-1,False,True,False,False,False,False,False,True,False,False,True,False
2.0,421.1,86.6,77,0,45.5,2010,421.1,0,-59.5,0.5,0,0,False,True,False,False,False,False,True,False,False,False,True,False
5.0,395.7,88.2,86.5,0,0,2010,421.1,2,0.0,0.0,2,-2,False,True,False,False,False,False,True,False,False,False,True,False
10.0,404.1,83.6,101.5,0,0,2010,421.1,5,-25.400000000000034,1.5,5,-5,False,False,True,False,False,False,False,False,False,False,False,True
8.0,409.8,72.8,92,0,65,2014,454.8,0,8.400000000000034,2.5,-4,4,False,True,False,False,False,False,True,False,False,True,False,False
7.0,454.8,86.8,100,0,0,2014,454.8,4,0.0,0.0,0,0,False,False,True,False,False,False,False,True,False,False,True,False
10.0,304.9,54.4,89,100,61.5,2025,304.9,0,45.0,0.5,0,0,False,False,False,False,False,False,False,False,False,False,False,False
4.0,479.4,67.4,84.5,0,62.5,2018,479.4,0,0.0,0.0,0,0,False,False,True,False,False,False,False,True,False,False,False,True
10.0,278.7,74.2,0,0,54.5,2005,278.7,0,0.0,0.0,0,0,True,False,False,False,False,False,True,False,False,True,False,False
10.0,157.0,62,50,0,0,2001,157.0,0,0.0,0.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
7.0,593.5,0,100,100,62.5,2023,593.5,0,0.0,0.0,0,0,False,False,True,False,False,True,True,False,False,False,True,False
9.0,372.0,70,87.5,0,63.5,2008,372.0,0,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,True,False,False
8.0,360.5,69,96,0,41.5,2008,372.0,1,0.0,0.0,1,-1,False,True,False,False,False,False,True,False,False,True,False,False
3.0,402.5,66,75.5,0,57,2007,402.5,0,-11.5,0.5,0,0,False,True,False,False,False,False,True,False,False,False,True,False
2.0,507.7,88.2,100,0,55.5,2019,532.5,0,0.0,0.0,-2,2,False,False,True,False,False,False,False,True,False,False,False,True
3.0,486.7,92.2,100,0,67.5,2019,532.5,1,0.0,0.0,-1,1,False,True,False,False,False,False,False,True,False,False,True,False
9.0,532.5,97,95.5,0,75,2019,532.5,2,-21.0,0.5,0,0,False,True,False,False,True,False,False,False,False,False,False,True
2.0,513.4,81.4,100,0,74,2018,520.0,0,45.80000000000001,3.0,-4,4,False,False,True,False,False,False,False,True,False,False,False,True
6.0,497.7,71.2,75,0,87.5,2018,520.0,1,0.0,0.0,-3,3,False,False,True,False,False,False,False,True,False,False,False,True
2.0,520.0,81,96,0,75,2018,520.0,4,-15.699999999999989,2.0,0,0,False,False,True,False,False,False,False,True,False,False,False,True
5.0,203.0,76,65,0,0,2007,419.5,0,22.30000000000001,2.0,-6,6,False,True,False,False,False,False,False,False,False,False,False,False
4.0,292.6,88.6,82,0,67,2007,419.5,1,0.0,0.0,-5,5,True,False,False,False,False,False,False,False,False,False,False,False
2.0,373.4,84.4,88,0,83,2007,419.5,2,89.60000000000002,0.5,-4,4,True,False,False,False,False,False,False,True,False,False,False,False
7.0,362.6,92.6,100,0,0,2007,419.5,5,80.79999999999995,1.0,-1,1,False,True,False,False,False,False,True,False,False,True,False,False
1.0,419.5,104,112.5,0,93,2007,419.5,6,-10.799999999999955,2.5,0,0,True,False,False,False,False,False,True,False,False,False,False,False
4.0,215.6,80.6,69,0,0,2001,215.6,0,56.89999999999998,3.0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
2.0,67.0,0,0,0,0,2001,200.6,0,0.0,0.0,-3,3,False,True,False,False,False,False,False,False,False,False,False,False
7.0,200.6,60.6,0,0,0,2001,200.6,3,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,False,True,False
7.0,417.1,76.6,104,0,76.5,2016,417.1,0,133.6,2.5,0,0,True,False,False,False,False,False,True,False,False,True,False,False
8.0,287.1,94.6,68,0,38.5,2005,287.1,0,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
7.0,251.5,61,50,0,37.5,2003,251.5,0,0.0,0.0,0,0,True,False,False,False,False,False,True,False,False,False,False,False
5.0,270.6,107.6,93,0,0,2004,270.6,0,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
7.0,592.1,91.6,95.5,90.5,66.5,2023,650.2,0,0.0,0.0,-1,1,False,True,False,False,True,False,True,False,False,False,True,False
2.0,650.2,93.2,90,96.5,67.5,2023,650.2,1,0.0,0.0,0,0,False,True,False,False,True,False,True,False,False,False,True,False
2.0,72.0,0,0,0,0,1999,80.0,0,58.10000000000002,2.5,-4,4,False,True,False,False,False,False,False,False,False,False,False,False
1.0,75.0,0,0,0,0,1999,80.0,2,0.0,0.0,-2,2,False,True,False,False,False,False,False,False,False,False,False,False
2.0,80.0,0,0,0,0,1999,80.0,4,3.0,0.5,0,0,False,True,False,False,False,False,False,False,False,False,False,False
10.0,378.4,108.4,103.5,88,78.5,2020,378.4,0,5.0,0.5,0,0,False,False,False,False,False,False,False,False,False,False,False,False
2.0,653.8,72.8,112,117,120,2024,777.7,0,0.0,0.0,-1,1,False,True,False,False,True,False,False,False,False,False,True,False
1.0,777.7,106.2,130,125,114.5,2024,777.7,1,0.0,0.0,0,0,False,True,False,False,True,False,False,True,False,False,True,False
4.0,625.0,0,134.5,108.5,0,2024,777.7,2,123.90000000000009,0.5,1,-1,False,False,True,False,False,True,False,True,False,False,False,True
4.0,650.8,102.8,142,0,0,2024,777.7,5,-152.70000000000005,1.5,4,-4,False,False,True,False,False,True,False,True,False,False,False,True
4.0,404.9,84.4,100.5,0,77,2006,404.9,0,25.799999999999955,0.0,0,0,False,True,False,False,False,False,False,True,False,False,False,False
1.0,541.3,89.8,118.5,0,0,2013,607.7,0,0.0,0.0,-1,1,False,False,True,False,False,False,False,False,True,False,False,True
1.0,607.7,88.2,109.5,0,87,2013,607.7,1,0.0,0.0,0,0,False,False,True,False,False,False,False,False,True,False,False,True
2.0,606.0,85,99.5,0,93.5,2013,607.7,3,66.40000000000009,0.0,2,-2,False,False,True,False,False,False,False,False,True,False,False,True
9.0,279.6,80.6,68,0,57,2009,465.3,0,-1.7000000000000455,0.5,-1,1,False,True,False,False,False,False,False,False,False,False,False,False
1.0,465.3,84.8,87,0,69.5,2009,465.3,1,0.0,0.0,0,0,False,True,False,False,False,False,False,True,False,False,True,False
6.0,393.5,79,101.5,0,75,2009,465.3,2,185.7,4.0,1,-1,False,True,False,False,False,False,False,True,False,False,False,False
4.0,439.7,85.2,100.5,0,78,2009,465.3,4,-71.80000000000001,2.5,3,-3,False,False,False,False,False,False,False,True,False,False,True,False
10.0,349.8,88.8,71,0,54,2006,349.8,0,46.19999999999999,1.0,0,0,False,True,False,False,False,False,False,False,False,False,True,False
10.0,489.5,0,105,87.5,67,2024,634.4,0,0.0,0.0,-2,2,True,False,False,True,False,False,True,False,False,True,False,False
5.0,616.1,62.6,107,102.5,83,2024,634.4,1,0.0,0.0,-1,1,False,True,False,False,True,False,False,True,False,False,True,False
3.0,634.4,60.4,110.5,98.5,85,2024,634.4,2,126.60000000000002,2.5,0,0,False,True,False,False,True,False,True,False,False,False,True,False
5.0,621.4,60.4,115.5,104.5,86,2024,634.4,3,18.299999999999955,1.0,1,-1,False,True,False,False,True,False,True,False,False,False,True,False
2.0,674.8,74.8,106,100,71,2023,674.8,0,-13.0,1.0,0,0,False,False,True,False,True,False,False,True,False,False,True,False
8.0,583.4,80.4,115,107.5,76.5,2023,674.8,1,0.0,0.0,1,-1,False,True,False,False,True,False,False,False,False,False,True,False
10.0,576.6,63.6,96,96.5,63.5,2024,576.6,0,-91.39999999999998,3.0,0,0,False,False,True,False,False,True,False,False,False,False,True,False
7.0,432.2,80.2,90.5,0,64.5,2018,477.5,0,0.0,0.0,-2,2,False,True,False,False,False,False,True,False,False,False,True,False
5.0,477.5,77,109,0,71.5,2018,477.5,2,0.0,0.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False
9.0,440.6,80.6,84.5,0,78.5,2018,477.5,7,45.30000000000001,1.0,5,-5,False,True,False,False,False,False,True,False,False,False,True,False
